order_id,customer_id,product_id,quantity,unit_price,total_amount,status,order_ts
ORD-000001,239,47,5,404.56,2022.8,completed,2026-03-05 05:53:41
ORD-000002,469,93,4,673.46,2693.84,completed,2026-03-13 12:20:27
ORD-000003,289,48,3,634.44,1903.32,completed,2026-04-04 22:20:08
ORD-000004,284,95,2,627.59,1255.18,cancelled,2026-04-29 14:30:20
ORD-000005,101,75,4,508.34,2033.36,completed,2026-04-12 18:27:04
ORD-000006,256,30,4,774.96,3099.84,cancelled,2026-03-25 15:03:12
ORD-000007,495,84,3,544.62,1633.86,shipped,2026-04-14 06:12:36
ORD-000008,87,59,2,887.2,1774.4,completed,2026-03-15 11:10:40
ORD-000009,470,93,5,673.46,3367.3,cancelled,2026-03-30 17:17:57
ORD-000010,430,83,1,342.57,342.57,completed,2026-03-28 22:46:07
ORD-000011,212,86,1,686.72,686.72,completed,2026-03-13 23:46:04
ORD-000012,5,81,2,484.39,968.78,completed,2026-04-26 18:30:05
ORD-000013,317,65,4,448.58,1794.32,cancelled,2026-04-07 21:47:57
ORD-000014,273,62,4,853.93,3415.72,cancelled,2026-04-29 23:45:34
ORD-000015,370,53,1,130.42,130.42,completed,2026-04-29 04:43:29
ORD-000016,417,69,3,370.39,1111.17,shipped,2026-04-29 05:42:54
ORD-000017,269,23,1,690.42,690.42,completed,2026-03-03 20:29:36
ORD-000018,130,31,2,164.73,329.46,completed,2026-03-22 04:49:57
ORD-000019,492,35,4,25.35,101.4,shipped,2026-04-25 10:25:04
ORD-000020,154,59,5,887.2,4436.0,completed,2026-04-15 15:46:37
ORD-000021,195,84,1,544.62,544.62,shipped,2026-04-25 09:14:40
ORD-000022,5,71,4,486.45,1945.8,completed,2026-04-27 00:49:01
ORD-000023,331,11,4,413.83,1655.32,completed,2026-03-07 08:12:07
ORD-000024,471,73,1,772.5,772.5,completed,2026-03-04 04:46:14
ORD-000025,244,30,2,774.96,1549.92,completed,2026-03-04 03:21:51
ORD-000026,461,6,1,613.86,613.86,cancelled,2026-03-18 13:47:31
ORD-000027,9,73,1,772.5,772.5,completed,2026-04-19 12:33:00
ORD-000028,476,76,2,503.77,1007.54,completed,2026-03-13 09:29:55
ORD-000029,291,39,2,226.52,453.04,shipped,2026-03-25 15:14:41
ORD-000030,387,87,5,605.95,3029.75,completed,2026-04-09 10:01:29
ORD-000031,28,89,1,816.79,816.79,completed,2026-03-29 11:24:28
ORD-000032,175,56,2,540.14,1080.28,cancelled,2026-03-08 21:13:57
ORD-000033,497,99,5,482.62,2413.1,completed,2026-03-23 09:33:24
ORD-000034,252,4,3,152.26,456.78,completed,2026-03-11 07:35:46
ORD-000035,222,46,5,95.3,476.5,completed,2026-03-01 10:19:53
ORD-000036,44,88,5,434.06,2170.3,cancelled,2026-03-19 10:09:44
ORD-000037,43,38,2,344.45,688.9,completed,2026-03-16 21:19:26
ORD-000038,79,20,4,887.59,3550.36,shipped,2026-03-16 00:55:14
ORD-000039,3,41,3,843.98,2531.94,completed,2026-04-24 20:40:05
ORD-000040,53,57,3,737.45,2212.35,completed,2026-03-13 14:10:42
ORD-000041,286,12,2,505.12,1010.24,cancelled,2026-04-03 07:39:30
ORD-000042,46,66,4,847.72,3390.88,completed,2026-04-24 23:02:38
ORD-000043,402,71,1,486.45,486.45,completed,2026-03-23 02:13:34
ORD-000044,199,50,1,365.03,365.03,completed,2026-04-12 08:56:02
ORD-000045,293,93,5,673.46,3367.3,cancelled,2026-03-04 15:09:44
ORD-000046,138,22,4,166.08,664.32,completed,2026-04-20 18:56:42
ORD-000047,86,35,4,25.35,101.4,shipped,2026-04-21 21:41:48
ORD-000048,401,36,4,419.39,1677.56,completed,2026-04-11 06:22:11
ORD-000049,370,47,3,404.56,1213.68,shipped,2026-03-01 15:01:19
ORD-000050,55,77,5,352.64,1763.2,completed,2026-04-18 07:19:48
ORD-000051,171,39,1,226.52,226.52,cancelled,2026-03-01 09:35:36
ORD-000052,221,49,3,224.04,672.12,cancelled,2026-04-02 11:48:46
ORD-000053,486,18,3,631.84,1895.52,completed,2026-04-10 02:02:16
ORD-000054,496,62,3,853.93,2561.79,completed,2026-04-19 09:30:02
ORD-000055,167,38,4,344.45,1377.8,shipped,2026-03-25 15:10:25
ORD-000056,478,36,4,419.39,1677.56,cancelled,2026-04-07 19:51:13
ORD-000057,350,26,5,406.44,2032.2,cancelled,2026-03-27 17:26:57
ORD-000058,225,4,4,152.26,609.04,completed,2026-03-01 16:22:01
ORD-000059,345,89,1,816.79,816.79,shipped,2026-03-09 09:06:13
ORD-000060,338,18,3,631.84,1895.52,completed,2026-04-15 14:48:01
ORD-000061,38,92,4,866.06,3464.24,shipped,2026-03-11 10:16:28
ORD-000062,274,77,4,352.64,1410.56,cancelled,2026-03-24 09:24:26
ORD-000063,405,89,4,816.79,3267.16,completed,2026-03-27 22:39:42
ORD-000064,469,90,5,861.53,4307.65,completed,2026-03-23 00:45:53
ORD-000065,86,14,2,24.48,48.96,cancelled,2026-03-19 11:04:29
ORD-000066,205,6,5,613.86,3069.3,completed,2026-03-20 00:27:11
ORD-000067,133,56,1,540.14,540.14,completed,2026-04-30 20:24:36
ORD-000068,353,66,5,847.72,4238.6,cancelled,2026-03-26 02:51:51
ORD-000069,238,29,4,487.67,1950.68,cancelled,2026-04-07 09:45:34
ORD-000070,13,89,5,816.79,4083.95,shipped,2026-04-21 11:26:25
ORD-000071,60,14,3,24.48,73.44,completed,2026-04-04 20:52:27
ORD-000072,402,45,3,220.4,661.2,completed,2026-04-09 07:25:19
ORD-000073,50,67,4,346.13,1384.52,shipped,2026-04-08 06:39:49
ORD-000074,154,93,4,673.46,2693.84,completed,2026-04-10 21:33:16
ORD-000075,332,91,1,194.57,194.57,completed,2026-04-29 11:30:33
ORD-000076,265,87,2,605.95,1211.9,completed,2026-03-02 15:07:10
ORD-000077,219,71,2,486.45,972.9,shipped,2026-04-09 03:37:00
ORD-000078,96,30,4,774.96,3099.84,shipped,2026-03-21 17:17:04
ORD-000079,453,51,1,488.09,488.09,completed,2026-03-14 01:38:28
ORD-000080,3,58,5,275.08,1375.4,completed,2026-04-03 09:50:35
ORD-000081,296,27,3,341.2,1023.6,completed,2026-03-13 21:43:20
ORD-000082,101,69,2,370.39,740.78,shipped,2026-04-07 12:07:53
ORD-000083,271,15,3,735.73,2207.19,completed,2026-03-19 06:10:43
ORD-000084,301,77,4,352.64,1410.56,completed,2026-03-22 09:42:29
ORD-000085,317,45,3,220.4,661.2,completed,2026-03-07 07:19:48
ORD-000086,303,87,3,605.95,1817.85,completed,2026-03-03 01:37:39
ORD-000087,123,87,2,605.95,1211.9,completed,2026-04-10 19:42:32
ORD-000088,262,15,2,735.73,1471.46,shipped,2026-04-07 18:51:12
ORD-000089,197,54,5,214.57,1072.85,shipped,2026-04-22 03:04:20
ORD-000090,356,24,4,583.06,2332.24,completed,2026-03-21 04:26:05
ORD-000091,72,72,2,765.16,1530.32,completed,2026-03-30 13:29:02
ORD-000092,444,41,4,843.98,3375.92,completed,2026-03-22 22:02:54
ORD-000093,418,2,4,813.08,3252.32,shipped,2026-04-22 16:53:45
ORD-000094,210,72,5,765.16,3825.8,shipped,2026-03-20 05:58:44
ORD-000095,43,54,4,214.57,858.28,cancelled,2026-03-30 17:54:38
ORD-000096,141,4,2,152.26,304.52,completed,2026-04-12 22:48:35
ORD-000097,290,69,3,370.39,1111.17,shipped,2026-04-20 07:20:58
ORD-000098,59,71,5,486.45,2432.25,completed,2026-04-23 03:08:54
ORD-000099,278,100,5,281.04,1405.2,completed,2026-03-09 10:38:35
ORD-000100,218,98,4,258.34,1033.36,completed,2026-03-27 16:02:36
ORD-000101,231,95,-3,627.59,1255.18,completed,2026-04-11 22:49:36
ORD-000102,398,45,1,220.4,220.4,completed,2026-04-02 19:43:34
ORD-000103,441,27,5,341.2,1706.0,cancelled,2026-03-17 11:14:03
ORD-000104,72,81,4,484.39,1937.56,completed,2026-04-20 01:34:00
ORD-000105,273,27,1,341.2,341.2,completed,2026-03-25 11:13:38
ORD-000106,361,77,5,352.64,1763.2,completed,2026-04-20 12:12:59
ORD-000107,461,38,5,344.45,1722.25,completed,2026-04-13 05:16:15
ORD-000108,142,18,4,631.84,2527.36,completed,2026-03-03 21:50:30
ORD-000109,365,90,2,861.53,1723.06,completed,2026-04-15 18:40:32
ORD-000110,296,32,4,356.79,1427.16,completed,2026-03-30 18:49:26
ORD-000111,39,81,4,484.39,1937.56,completed,2026-04-06 07:32:37
ORD-000112,356,52,5,778.04,3890.2,completed,2026-03-14 13:52:13
ORD-000113,2,59,4,887.2,3548.8,completed,2026-04-10 02:48:42
ORD-000114,436,94,4,433.63,1734.52,completed,2026-03-21 10:57:28
ORD-000115,423,69,4,370.39,1481.56,completed,2026-04-17 08:21:26
ORD-000116,173,64,3,612.48,1837.44,cancelled,2026-04-10 13:40:29
ORD-000117,404,74,2,726.17,1452.34,completed,2026-03-25 06:19:46
ORD-000118,321,88,1,434.06,434.06,shipped,2026-04-28 20:22:29
ORD-000119,226,3,1,517.57,517.57,shipped,2026-03-02 18:14:53
ORD-000120,452,1,4,60.27,241.08,completed,2026-04-18 19:11:50
ORD-000121,185,21,3,33.4,100.2,completed,2026-04-25 00:10:02
ORD-000122,85,11,3,413.83,1241.49,completed,2026-03-19 00:22:26
ORD-000123,220,51,3,488.09,1464.27,completed,2026-03-15 15:28:31
ORD-000124,245,91,1,194.57,194.57,completed,2026-04-30 16:13:47
ORD-000125,349,17,5,45.53,227.65,shipped,2026-04-16 05:05:16
